文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI
特開昭51-101468,            特願昭50-026693,1975/03/05,1976/09/07,ワイヤボンデイングソウチ,カブシキガイシヤ　シンカワセイサクシヨ,",H01L21/60,301@A,H01L21/60,321@Y,H01L21/66@R,"
特開昭51-098536,            特願昭51-008308,1976/01/28,1976/08/30,安全スキ－ビンデイング装置,ジ－ン　ジヨセフ　アルフレツド　ベイル,",A63C9/081,"
特開昭51-098535,            特願昭51-008307,1976/01/28,1976/08/30,安全スキ－ビンデイング,ジ－ン　ジヨセフ　アルフレツド　ベイル,",A63C9/081,"
特開昭51-092229,            特願昭51-000713,1976/01/05,1976/08/12,分離スキ－ビンドウング,ゲルチユ・アクチエン・ゲゼルシヤフト,",A63C9/081,"
特開昭51-088337,            特願昭50-152677,1975/12/19,1976/08/02,スキ－ノビンデイング,ミツチエル　エス　ア,",A63C9/081,A63C9/086,"
特開昭51-088178,            特願昭50-013221,1975/01/31,1976/08/02,ハンドウタイソウチ,トウキヨウシバウラデンキ　カブシキガイシヤ,",H01L21/60,311@S,"
特開昭51-082131,            特願昭50-143412,1975/12/04,1976/07/19,アンゼンスキ－トリツケグ,クルト　ヒルデブラント,",A63C9/085,"
特開昭51-063750,            特願昭50-122584,1975/10/13,1976/06/02,スキ－のセ－フテイ・ビンデイング,ミツチエル　ソシエテ　アノニム,",A63C9/081,A63C9/083,"
特公昭51-016824,            特願昭45-080324,1970/09/14,1976/05/27,スキ－ヒ゛ンテ゛インク゛,日本楽器製造株式会社,",A63C9/085,"
特公昭51-016823,            特願昭45-047503,1970/06/02,1976/05/27,アンセ゛ンスキ－ヒ゛ンテ゛インク゛ヨウ ノ ツマサキ マタハ カカトノホシ゛ク゛,ハンネス　マルケル,",A63C9/085,"
特開昭51-060196,            特願昭49-120387,1974/10/21,1976/05/25,マトリツクスソシ,カブシキガイシヤ　ヒタチセイサクシヨ,",G02F1/055,505,G02F1/133,545,G02F1/1343,他,"
特開昭51-058151,            特願昭49-130628,1974/11/13,1976/05/21,スキ－ノ　ナカシン,ニホンガツキセイゾウ　カブシキガイシヤ,",A63C5/12@D,A63C5/12@F,B32B3/12@Z,"
特開昭51-052040,            特願昭49-125730,1974/10/31,1976/05/08,スキ－ビンデイングノ　ヒ－ルピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/00@C,A63C9/084,"
特開昭51-052039,            特願昭49-125729,1974/10/31,1976/05/08,スキ－ビンデイングノ　ヒ－ルピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/084,"
実全昭51-043271,            実願昭49-115844,1974/09/27,1976/03/30,セルフレストレ－シヨンビンデイング,ミウラ　ジユンイチ,",A63C9/081,"
特開昭51-037748,            特願昭50-087167,1975/07/16,1976/03/30,スキ－ブ－ツ,ハンソン　インダストリ－ズ　インコ－ポレ－テツド,",A43B5/04@D,"
特公昭51-009344,            特願昭42-059080,1967/09/14,1976/03/26,アンセ゛ンナスキ－ヒ゛ンテ゛インク゛ヨウノカカトホシ゛ソウチ,ハシネス　マルケル,",A63C9/084,"
実全昭51-033070,            実願昭49-105196,1974/08/31,1976/03/11,スキ－ビンデイング　ノ　ヒ－ルピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/00@B,A63C9/085,"
特開昭51-028036,            特願昭49-100406,1974/08/31,1976/03/09,スキ－ビンデイング　ノ　ヒ－ルピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/084,"
特開昭51-028035,            特願昭49-100405,1974/08/31,1976/03/09,スキ－ビンデイング　ノ　ヒ－ルピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/084,"
実全昭51-024471,            実願昭49-096512,1974/08/13,1976/02/23,スキ－,ニホンガツキセイゾウ　カブシキガイシヤ,",A63C5/048,"
実全昭51-020470,            実願昭49-091913,1974/07/31,1976/02/14,スキ－ビンデイングノ　ヒ－ルピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/00@B,A63C9/081,"
実全昭51-020469,            実願昭49-091912,1974/07/31,1976/02/14,スキ－ビンデイング,ホ－プ　カブシキガイシヤ,",A63C9/081,A63C9/083,"
実全昭51-020468,            実願昭49-091911,1974/07/31,1976/02/14,スキ－ビンデイング,ホ－プ　カブシキガイシヤ,",A63C9/081,A63C9/083,"
特公昭51-004136,            特願昭45-028527,1970/04/03,1976/02/09,セ－フテイスキ－ヒ゛ンテ゛インク゛,ハンネス　マルケル,",A63C9/08@C,"
特公昭51-002856,            特願昭45-113518,1970/12/18,1976/01/29,アンセ゛ンスキ－ヒ゛ンテ゛インク゛ヨウ ツマサキカナク゛,ハンネス　マルケル,",A63C9/085,"
実全昭51-011760,            実願昭49-082337,1974/07/12,1976/01/28,ワイヤボンダ－　ノ　カアツキコウ,カブシキガイシヤ　シンカワセイサクシヨ,",B23K20/00@H,H01L21/60,301@G,"
特開昭51-005139,            特願昭49-074725,1974/06/29,1976/01/16,セイフテイビンデイングノ　ヒ－ルピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/084,"
特開昭51-005138,            特願昭49-074724,1974/06/29,1976/01/16,セイフテイビンデイングノ　トウピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/085,"
実全昭51-004537,            実願昭49-075064,1974/06/26,1976/01/13,クツミガキキ,タカサワ　ノボル,",A47L23/05,"
特開昭50-157070,            特願昭49-065430,1974/06/07,1975/12/18,ワイヤボンデイングソウチ,ニツポンデンキ　カブシキガイシヤ,",H01L21/60,301@L,"
実全昭50-150753,            実願昭49-061922,1974/05/31,1975/12/15,コンセイシユウセキカイロ,フジツウ　カブシキガイシヤ,",H05K1/11@N,H05K3/46@B,"
特開昭50-152847,            特願昭50-054145,1975/05/06,1975/12/09,アンゼンスキ－ビンデイング,ハンネス　マルケル,",A63C9/081,"
特開昭50-152846,            特願昭50-053308,1975/05/06,1975/12/09,電気的スキ－靴解放装置,ニコラス　フレツド　ダントニオ,",A63C9/088,"
特開昭50-152845,            特願昭50-012296,1975/01/29,1975/12/09,カイホウジザイノスキ－ビンデイング,リチヤ－ド　ジ－　スペイドマン,",A63C9/08@A,A63C9/086,"
実公昭50-041972,            実願昭49-145701,1974/12/02,1975/11/28,アンゼンビンデイングキコウ,リチヤ－ド　ジ－　スペ－ドマン,",A63C9/08@A,"
特開昭50-146442,            特願昭50-047381,1975/04/18,1975/11/25,アンゼンスキ－ビンデイング,ハンネス　マルケル,",A63C9/081,"
実全昭50-138162,            実願昭49-048527,1974/04/27,1975/11/13,スキ－,ホ－プ　カブシキガイシヤ,",A63C11/18,"
特開昭50-141439,            特願昭50-039296,1975/04/02,1975/11/13,スキ－ノブレ－キトリツケソウチ,ソシエテ　アノニム　エタブリスマン　フランソワ　サロモン　エ　フイス,",A63C7/10@B,"
特公昭50-034447,            特願昭48-010359,1973/01/26,1975/11/08,スキ－ビンデイングノ　カイホウセイノウテンケンソウチ,ゴルドン　クリフオ－ド　ライプ,",A63C9/08@B,A63C9/084,G01L5/03,"
実全昭50-133266,            実願昭49-043037,1974/04/17,1975/11/01,スキ－ブ－ツヨウ　スノ－スクレ－パ－,サトウ　ヒデオ,",A63C11/18,"
特公昭50-033459,            特願昭43-041133,1968/06/15,1975/10/30,アンセ゛ンスキ－ヒ゛ンテ゛インク゛ソウチ,ハインリツヒ　ウンダ－,",A63C9/084,"
特開昭50-127740,            特願昭50-032877,1975/03/18,1975/10/08,ビンデイング,エルマ－　ビ－　ウルフ,",A63C9/081,"
実全昭50-119199,            実願昭49-029957,1974/03/15,1975/09/29,スイシンカルスカ　カルウヅンデイング,ニホンガツキセイゾウ　カブシキガイシヤ,",A63C15/06,B63B35/85@A,B63B32/30,"
特開昭50-122342,            特願昭49-141437,1974/12/09,1975/09/25,セ－フテイスキ－ビンデイング,ジモン　ブルガ－,",A63C9/084,"
特公昭50-028854,            特願昭45-061132,1970/07/14,1975/09/18,ツマサキヒ゛ンテ゛インク゛,スポ－ツ　テクノロジ－　インコ－ポレ－テツド,",A63C9/085,"
特開昭50-118839,            特願昭50-020297,1975/02/18,1975/09/17,スキ－ビンデイングノ　カカトホジソウチ,ハンネス　マルケル,",A63C9/00@B,A63C9/084,"
特開昭50-118838,            特願昭49-023885,1974/02/28,1975/09/17,スキ－ビンデイングセツト,ホ－プ　カブシキガイシヤ,",A63C9/00@B,A63C9/00@C,"
特開昭50-118837,            特願昭49-023884,1974/02/28,1975/09/17,スキ－ビンデイングノ　コチヤクユニツト,ホ－プ　カブシキガイシヤ,",A63C9/00@B,A63C9/00@C,A63C9/084,他,"
実全昭50-113575,            実願昭49-023550,1974/02/27,1975/09/16,スキ－ビンデイング,ホ－プ　カブシキガイシヤ,",A63C9/00@C,"
特開昭50-117535,            特願昭50-014783,1975/02/04,1975/09/13,スキ－ビンデイング,ジ－ン　ジヨセフ　アルフレツド　ベイル,",A63C9/085,"
特開昭50-112134,            特願昭49-130087,1974/11/13,1975/09/03,スキ－アンゼンビンデイング,ジ－　ピ－　アイ,",A63C9/081,"
実公昭50-029571,            実願昭45-045770,1970/05/11,1975/08/30,スキ－クツカカトキンテイク゛ ノ イト゛ウソウチ,ホ－フ゜ カフ゛シキカ゛イシヤ,",A63C9/00@C,A63C9/084,"
実全昭50-104771,            実願昭49-014274,1974/02/02,1975/08/28,スキ－ヨウスパイク,オカモト　マサル,",A63C7/08,"
特公昭50-025852,            特願昭44-020319,1969/03/17,1975/08/27,スキ－ヒ゛ンテ゛インク゛ヨウ アンセ゛ンアシサキカナク゛,ハンネス　マルケル,",A63C9/085,"
実全昭50-097560,            実願昭49-003417,1973/12/30,1975/08/14,セイフテイビンデイング　ノ　トウピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/085,"
特開昭50-102432,            特願昭50-005266,1975/01/09,1975/08/13,アンゼンスキ－　ビンデイング,ハンネス　マルケル,",A63C9/081,"
特開昭50-102266,            特願昭49-005342,1974/01/09,1975/08/13,ワイヤボンデイングホウ,カブシキガイシヤ　ヒタチセイサクシヨ,",H01L21/60,301@L,"
特開昭50-101148,            特願昭49-023883,1974/02/28,1975/08/11,スキ－ビンデイングノヒ－ルピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/086,"
実公昭50-026497,            実願昭44-023134,1969/03/17,1975/08/07,スキ－ク゛ツ,サトウ トモヨシ,",A43B5/04@R,A43B13/14@A,"
特開昭50-097437,            特願昭49-002712,1973/12/30,1975/08/02,スキ－ビンデイングセツト,ホ－プ　カブシキガイシヤ,",A63C9/00@B,A63C9/00@C,"
特開昭50-097436,            特願昭49-002711,1973/12/30,1975/08/02,スキ－ビンデイングノコチヤクユニツト,ホ－プ　カブシキガイシヤ,",A63C9/00@B,A63C9/00@C,A63C9/084,他,"
特開昭50-097435,            特願昭49-002710,1973/12/30,1975/08/02,セイフテイビンデイングノトウピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/085,"
特公昭50-022458,            特願昭45-064262,1970/07/22,1975/07/31,セ－フテイ－ スキ－ヒ゛ンテ゛インク゛ ノタメノ ツマサキ マタハ カカトホシ゛ソウチ,ハンネス　マルケル,",A63C9/085,"
特公昭50-022457,            特願昭45-058289,1970/07/03,1975/07/31,セ－フテイスキ－ヒ゛ンテ゛インク゛ヨウ ツマサキカナク゛,ハンネス　マルケル,",A63C9/085,"
特開昭50-096346,            特願昭49-146676,1974/12/20,1975/07/31,セ－フテイスキ－ビンデイングヨウノヒ－ルピ－ス,ゲルチユ　アクチエンゲゼルシヤフト,",A63C9/084,"
特開昭50-096345,            特願昭48-144723,1973/12/28,1975/07/31,ヒ－ルヨウビンデイング,タガミ　シロウ,",A63C9/084,"
特開昭50-096344,            特願昭48-144722,1973/12/28,1975/07/31,ヒ－ルヨウビンデイング,タガミ　シロウ,",A63C9/00@C,A63C9/084,"
特開昭50-096305,            特願昭49-146673,1974/12/20,1975/07/31,光重合可能な複写材料,ヘキスト　アクチエンゲゼルシヤフト,",C08F20/00,C08F20/10,G03C1/68,311,他,"
特公昭50-021900,            特願昭44-082469,1969/10/15,1975/07/26,アンセ゛ンヒ゛ンテ゛インク゛キコウ,リチヤ－ド　ジ－　スペ－ドマン,",A63C9/08@A,"
特開昭50-090957,            特願昭48-138835,1973/12/14,1975/07/21,ネツアツチヤクボンデイングホウ,フジツウ　カブシキガイシヤ,",H01L21/60,301@A,H01L21/603@B,H01L23/50@L,他,"
実全昭50-084166,            実願昭48-138687,1973/11/30,1975/07/18,セイフテイビンデイングトウピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/085,"
実全昭50-084165,            実願昭48-138686,1973/11/30,1975/07/18,セイフテイビンデイングトウピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/085,"
実全昭50-084164,            実願昭48-138685,1973/11/30,1975/07/18,セイフテイビンデイングトウピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/085,"
実全昭50-084163,            実願昭48-136654,1973/11/27,1975/07/18,スキ－ヨウソ－ルエツジ,ニホンガツキセイゾウ　カブシキガイシヤ,",A63C5/048,"
実全昭50-084162,            実願昭48-136653,1973/11/27,1975/07/18,スキ－ヨウソ－ルエツジ,ニホンガツキセイゾウ　カブシキガイシヤ,",A63C5/048,"
特開昭50-085444,            特願昭48-134804,1973/11/28,1975/07/10,分離自在なフアスナ,シドン　カズンズ,",A41F1/00@Z,A44B11/25,A63B9/00,"
実全昭50-079579,            実願昭48-137951,1973/11/30,1975/07/09,スキ－ヨウホゴグ,ニホンガツキセイゾウ　カブシキガイシヤ,",A63C5/04,A63C5/048,A63C11/02@A,"
特開昭50-079059,            特願昭48-128291,1973/11/16,1975/06/27,ビシヨウブヒン　ノ　ウンパンソウチ,カブシキガイシヤ　ヒタチセイサクシヨ,",B25J9/00@C,"
特公昭50-016978,            特願昭45-095826,1970/10/30,1975/06/17,アンセ゛ンスキ－ヒ゛ンテ゛インク゛ ノ マエハ゛ツケン,ハンネス　マルケル,",A63C9/085,"
特公昭50-016977,            特願昭45-083720,1970/09/24,1975/06/17,アンセ゛ンスキ－ヒ゛ンテ゛インク゛ヨウ ツマサキカナク゛,ハンネス　マルケル,",A63C9/085,"
特開昭50-067590,            特願昭48-114795,1973/10/15,1975/06/06,メサガタトランジスタノ　セイゾウホウ,カブシキガイシヤ　ヒタチセイサクシヨ,",H01L29/72,"
特公昭50-015182,            特願昭45-028255,1970/04/02,1975/06/03,スキ－ヒ゛ンテ゛インク゛ ノ ツマサキカナク゛,ハンネス　マルケル,",A63C9/085,"
特開昭50-064042,            特願昭48-111989,1973/10/05,1975/05/30,セイフテイビンデイング　ノ　トウピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/085,"
特開昭50-064041,            特願昭48-013027,1973/02/02,1975/05/30,クミタテシキスキ－,ゴ－ドン　サ－モン,",A63C5/02@A,"
実全昭50-057571,            実願昭48-113107,1973/09/27,1975/05/29,セイフテイビンデイングノ　トウピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/085,"
実全昭50-057570,            実願昭48-113106,1973/09/27,1975/05/29,セイフテイビンデイングノ　トウピ－ス,ホ－プ　カブシキガイシヤ,",A63C9/085,"
